AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU24_r,AU25_r,AU26_r,frame
0.014236499555408955,0.11839167214930058,1.400010883808136,0.00588098366279155,6.69779012696381e-06,2.7098113298416138,6.3709768483022344e-06,0.0013642154226545244,3.0229341983795166,0.050282273441553116,0.010157815413549542,0.0353490374982357,0.49065373837947845,0.6740698218345642,0.6740698218345642,0.008492621127516031,0.008492621127516031,0
0.01080346992239356,0.07409692276269197,1.7319943010807037,0.004002332279924303,5.390404567151563e-06,2.974289655685425,6.083967036829563e-06,0.0017951003974303603,3.358478546142578,0.043868059292435646,0.00871080788783729,0.04724027123302221,0.37757590413093567,0.6745298206806183,0.6745298206806183,0.010807900689542294,0.010807900689542294,1
0.0070031918585300446,0.050008236430585384,2.137293815612793,0.0031616230262443423,5.303985517457477e-06,3.0586108565330505,5.87838883348013e-06,0.0027393148047849536,3.475067913532257,0.050246287137269974,0.01034548506140709,0.061533073894679546,0.2999250777065754,0.6776311248540878,0.6776311248540878,0.010558697395026684,0.010558697395026684,2
0.004136217467021197,0.03720122389495373,2.4919703602790833,0.002787291305139661,5.6681932392166345e-06,3.0490535497665405,5.633101523017103e-06,0.003335552173666656,3.471326231956482,0.05545180290937424,0.010911478893831372,0.06910610012710094,0.32624050974845886,0.7553789764642715,0.7553789764642715,0.010011648992076516,0.010011648992076516,3
0.0020089384634047747,0.02221187809482217,2.9203778505325317,0.004825089126825333,5.016462978346681e-06,2.8068476915359497,6.367957325892348e-06,0.0017364758241456002,3.3970093727111816,0.0554129621013999,0.00872428237926215,0.07274510338902473,0.3238018602132797,0.8629391342401505,0.8629391342401505,0.01278199371881783,0.01278199371881783,4
0.001221455167979002,0.019064409425482154,3.1811240315437317,0.008059763349592686,4.182658983609144e-06,2.3848003149032593,6.764479394405498e-06,0.0013448199024423957,3.3643651008605957,0.06084033753722906,0.004719429416581988,0.08237355388700962,0.2513406053185463,0.9846007823944092,0.9846007823944092,0.013963880483061075,0.013963880483061075,5
0.0008714561408851296,0.01587771694175899,3.3428728580474854,0.01147705945186317,4.30285155061938e-06,2.30786994099617,7.588806738567655e-06,0.0012581692135427147,3.289960026741028,0.0644383067265153,0.0032309090602211654,0.1064143143594265,0.1997641660273075,1.105363443493843,1.105363443493843,0.014695439022034407,0.014695439022034407,6
0.0007914246089057997,0.01499870209954679,3.3953267335891724,0.012354857753962278,4.165013649526372e-06,2.2617800533771515,7.81387996084959e-06,0.0013546722766477615,3.282649517059326,0.058853267692029476,0.003595538146328181,0.11667756363749504,0.2036544494330883,1.04775071144104,1.04775071144104,0.014906610595062375,0.014906610595062375,7
0.000770447077229619,0.013262383872643113,3.4677815437316895,0.013681730488315225,4.322573090576043e-06,2.1995599567890167,7.838524993530882e-06,0.0015178277681116015,3.297397792339325,0.06152551155537367,0.0037153036100789905,0.12305906042456627,0.219301488250494,1.0308144241571426,1.0308144241571426,0.014922571135684848,0.014922571135684848,8
0.0006664401007583365,0.01336391898803413,3.4460464119911194,0.016905766678974032,4.377887137252401e-06,2.1741043031215668,7.747291874693474e-06,0.001495135365985334,3.2856619358062744,0.06507233250886202,0.00352787843439728,0.139241311699152,0.218712966889143,1.075071394443512,1.075071394443512,0.014073066413402557,0.014073066413402557,9
