frame,rx,ry,rz,tx,ty,tz
0,-2.8488617963408185,-0.13155237695853528,0.3406768409381286,-155.83801406161663,-160.4683126148221,1050.1097672843277
1,-2.8461972589036613,-0.13409285411838806,0.3160316951997587,-157.77037249138706,-163.09641339695386,1065.383137159601
2,-2.8443789084816555,-0.13231119864427293,0.309324678284238,-157.8971244638192,-163.16735123758843,1066.5107469218963
3,-2.8445270077341034,-0.13013977517045913,0.3153273506794437,-158.08887281243443,-163.02644978601305,1066.3459749124656
4,-2.8475185644041217,-0.1298989091888455,0.30946197171688655,-158.35765402060852,-163.2040249250324,1068.2113831385266
5,-2.843400617294356,-0.12928064049015398,0.30717394955851424,-158.29557862515966,-162.8390540271943,1067.1387390953955
6,-2.8424264531977412,-0.1297335699257075,0.31484280037951545,-158.47971914410778,-162.7253610428869,1066.921781366351
7,-2.8436756906326006,-0.13082941829032887,0.314872696161771,-158.62329839695713,-162.75769174342926,1067.4615740036493
8,-2.8503431749069974,-0.13157188415585902,0.31839002662108257,-158.53043231545786,-162.87355728114179,1067.2554049189189
9,-2.847564568643243,-0.13490736974789191,0.3363449341490735,-157.74436762237855,-162.03822124293941,1060.3942798255912
10,-2.842720142455956,-0.14039165332656345,0.3471455700742192,-157.1808208964185,-161.55036523751662,1056.680504471411
11,-2.847952738554049,-0.1382201417202418,0.3430091513538269,-157.10233821942285,-161.7555787488482,1057.5021188254568
12,-2.846487478689229,-0.13919090204064866,0.3416098050826885,-156.81086998062997,-161.6416964043247,1056.5373390094433
13,-2.8453113153854668,-0.13856417001799545,0.34452033362820417,-156.53551447358737,-161.45406921212063,1055.6105420076617
14,-2.8498199927249037,-0.13834835989308533,0.3299625801149456,-155.98253686385095,-161.5379380647893,1055.3974736356931
15,-2.8553557576518473,-0.13924355999014076,0.3211626308516009,-155.73683439904104,-161.77834438795466,1056.5296648767962
16,-2.8555486660101668,-0.13783428746493878,0.3181659197375301,-155.5493439472745,-161.7472445805864,1056.3226050253825
