frame,rx,ry,rz,tx,ty,tz
0,-2.8758338412683133,0.6855323402742056,-2.141199735033054,-4.802873662037024,-34.187809337787996,-22.65321499641296
1,-2.7285765284699477,0.1298511737733996,0.8111265363154703,-104.22669571089672,44.290338328899594,582.1173144109171
3,-2.707694685386795,0.02439332319861336,0.38913242167654777,-124.59801837364162,-9.5525642365997,770.9333572616639
4,-2.7475194217952277,0.055164185167652854,0.41245550037364126,-126.47580168329625,-29.564971285900317,801.9251576765437
5,-2.784130230758807,0.06051269314926409,0.47374529410111166,-129.93070166648428,-46.99500723869757,826.1234794920904
6,-2.799326625559768,0.06599539157700665,0.4657605276396083,-134.67825461903024,-61.69739533466463,854.0459719039151
7,-2.7953891773697594,0.07403166654866658,0.46802803595325865,-140.89925373172417,-73.00620355810628,878.8360061555323
8,-2.825306700499146,0.09133466568652866,0.4538176698628662,-149.1750048660416,-83.10914753816321,914.0539144247621
9,-2.854191984247893,0.1015850730453789,0.44288476827447526,-157.91122219866241,-90.53481931291537,944.2206602804276
10,-2.8886824704204703,0.12388174373676689,0.4449312404694768,-168.25956683083893,-95.94098206612023,970.2606234457692
11,-2.900843105396818,0.14283466631840624,0.4306200261561465,-179.83818067199329,-99.20851059270896,998.6933095812612
12,-2.9147625395396837,0.1442782784742111,0.4688736520739347,-191.63206569898247,-99.63778592690095,1010.497971480293
13,-2.9154694423907137,0.15360870890139405,0.47441043329354776,-204.2117829715249,-98.07830982015271,1024.5716845479546
14,-2.910671053981471,0.1430996801838661,0.47459422725436184,-219.87624447302215,-96.82606764901425,1045.5428925369097
15,-2.910865953467493,0.14292866474855728,0.4748470155649675,-234.8225986916616,-93.14641022607603,1053.9336449939985
16,-2.9202024131138917,0.13056168872246235,0.4737693147054309,-247.80454443126322,-88.86821831025433,1050.554144542731
17,-2.9101629337810793,0.13010011106997957,0.43406918552786067,-261.7532474158447,-85.29179454622425,1051.7298010099914
18,-2.903194257450628,0.12820921020781395,0.4343742876062737,-279.33248065440335,-82.29591041621089,1057.3677941405742
19,-2.857844693655992,0.14430899860397783,0.47613807679005316,-291.84815862500454,-77.94202628622277,1037.9505398896076
20,-2.8096142200836334,0.15376976901052827,0.4879818226917784,-304.8486951942938,-73.5990771651345,1030.4288090935413
21,-2.790157919320839,0.17514204069233685,0.4852289441993301,-317.91210532433894,-71.19083409012508,1033.0263186043676
