AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU24_r,AU25_r,AU26_r,frame
0.03200680483132601,0.07041873410344124,1.295335292816162,0.018060277216136456,3.139735440527147e-06,2.0628026127815247,4.497637462463899e-06,0.001590109895914793,2.9494166374206543,0.04833411891013384,0.004097467171959579,0.158531554043293,0.12928210198879242,0.37176426500082016,0.37176426500082016,0.006020847358740866,0.006020847358740866,0
0.02389857778325677,0.06907225120812654,1.7217449843883514,0.017741929041221738,3.1446529646927956e-06,2.092271000146866,4.208695543184149e-06,0.0020567802130244672,2.9420870542526245,0.032359284814447165,0.005262597114779055,0.1292787306010723,0.22775549441576004,0.3074529208242893,0.3074529208242893,0.005460887332446873,0.005460887332446873,1
0.023367509711533785,0.06712955422699451,2.0337092876434326,0.019360394217073917,2.99282106652754e-06,2.326110154390335,4.264768165285204e-06,0.001879817427834496,2.862532138824463,0.03214032854884863,0.003905136836692691,0.06235126871615648,0.3459284082055092,0.2919190749526024,0.2919190749526024,0.004563492548186332,0.004563492548186332,2
0.02741270698606968,0.07141433656215668,1.96843683719635,0.019147905986756086,2.9463794248840713e-06,2.5237178802490234,4.565816880131024e-06,0.001632098137633875,2.8819453716278076,0.036114922259002924,0.0023953385243657976,0.027235352899879217,0.34164492040872574,0.3122018650174141,0.3122018650174141,0.005214939592406154,0.005214939592406154,3
0.03422431414946914,0.0954991951584816,1.7925888299942017,0.018573029665276408,2.6220766358164838e-06,2.415681630373001,5.227619794823113e-06,0.001544279366498813,2.9493701457977295,0.04187002778053284,0.002100255514960736,0.019299091072753072,0.34294217824935913,0.2984654903411865,0.2984654903411865,0.005051855696365237,0.005051855696365237,4
0.027953588869422674,0.10454613715410233,1.865396648645401,0.018628400284796953,2.6091754534718348e-06,2.2697684168815613,6.11498876423866e-06,0.0019547189003787935,3.0016934871673584,0.03680142341181636,0.002703486825339496,0.018758863443508744,0.431012399494648,0.2487044408917427,0.2487044408917427,0.004430782573763281,0.004430782573763281,5
0.023280265741050243,0.09879211895167828,1.9163382053375244,0.01664754585362971,2.488669395006582e-06,2.198840379714966,6.979852855693025e-06,0.0022636809444520622,2.920374274253845,0.039290301501750946,0.002836855419445783,0.01616976805962622,0.4932025820016861,0.22883791476488113,0.22883791476488113,0.004189557221252471,0.004189557221252471,6
0.024393578059971333,0.10526682250201702,1.7664515972137451,0.017162831500172615,2.468937623234524e-06,2.197263538837433,7.276868245753576e-06,0.0028788764029741287,2.764255106449127,0.039240941405296326,0.0033073758822865784,0.017210054211318493,0.5630000308156013,0.21569907665252686,0.21569907665252686,0.004013915895484388,0.004013915895484388,7
0.03217722987756133,0.11777648702263832,1.6323575377464294,0.01700125285424292,2.7419488901614386e-06,2.2295106947422028,7.761853453303047e-06,0.0033285783138126135,2.695477306842804,0.03459765808656812,0.004442506760824472,0.018683747621253133,0.6570336222648621,0.22571615874767303,0.22571615874767303,0.0039035073132254183,0.0039035073132254183,8
0.03817913122475147,0.12005196884274483,1.6634055972099304,0.017273944104090333,2.6491949256524094e-06,2.1604302525520325,8.476912398691638e-06,0.004177689552307129,2.6832422614097595,0.03135116305202246,0.004958813660778105,0.01708553289063275,0.6987841427326202,0.1979038491845131,0.1979038491845131,0.0036829241435043514,0.0036829241435043514,9
