frame,rx,ry,rz,tx,ty,tz
0,-2.9112112240397345,0.1673802594392571,0.6583627072618615,8.821569632614999,66.38503233701468,1153.8296897611538
1,-2.9148478884057325,0.16685524066362525,0.6283687098093215,6.237231982663855,67.78178628694405,1170.9255177330283
2,-2.89979516333606,0.16399274141984718,0.6366913027746761,3.544001574313536,68.53240709039896,1172.0538881169414
3,-2.8968560681197157,0.18432080852627306,0.6460929181430066,0.20226157163275396,67.4302375186237,1169.4889180039543
4,-2.9060295661363513,0.185714732707571,0.6846296082890247,-2.9768643857603556,64.66442605802325,1158.968105414041
5,-2.915379206103695,0.18532413017705485,0.6800165690700346,-6.176506318697089,64.16702940594203,1160.3995567255604
6,-2.896064102528923,0.1808049901463,0.6773377341036664,-9.011161751196779,65.93346986261824,1170.5170634274127
7,-2.8899069012666025,0.1822972185949745,0.6787929669220119,-12.386340846016674,67.26483697553218,1172.4718863649089
8,-2.8863457014969645,0.17658974878892103,0.6342657613678362,-16.05854079908467,66.68159617046207,1161.7257647985266
9,-2.849276368305706,0.1830913093998811,0.7763379208302209,-24.244883619816953,62.06690482712566,1141.410551716851
10,-2.8543612783727927,0.17963495250342085,0.84208873010613,-30.96585417237206,57.513006430375555,1123.9309543513293
11,-2.873776935906966,0.16074416172561035,0.8520641709802426,-37.1924150600366,54.221234906904385,1124.5272035989494
12,-2.858511938386034,0.1528233170072552,0.9051208446047257,-42.851350693476384,51.883120207039376,1122.8681688199217
13,-2.874600186186307,0.14720917987274168,0.9391312232051771,-47.53060285885679,50.25115552264922,1124.4843452749253
14,-2.8636768888839232,0.14781634899102375,0.9476101467318342,-50.34770131264381,48.98656212531157,1119.9301436336407
15,-2.8836568734085932,0.15550939395829586,0.916837097997289,-52.7516752138131,47.29427515866028,1123.3055993674293
16,-2.8832517522935346,0.17069397289466406,0.9055943880327638,-54.79172162542176,45.54006042203526,1120.362148916105
17,-2.92082240888238,0.18083996643164776,0.9061633425989408,-57.392449835562545,42.871789708049064,1116.968177125364
18,-2.9520604404087383,0.17699168205130217,0.927131952214448,-60.98553703397549,40.06674823206519,1123.523344853771
19,-2.9778969679170544,0.1772927114123165,0.908218520062107,-64.17217056819264,38.11587548715551,1132.8668773028382
20,-2.9938486133825073,0.17192041509876588,0.9330954313293282,-66.27802169688981,36.80785333799516,1128.9852898642246
21,-2.977693289279539,0.16588011176871414,0.9482072509417178,-67.92259972040857,37.07995565721019,1125.2536502079754
22,-2.965155730191513,0.18664596937514036,0.897444705581461,-68.58048900285392,39.29074326794208,1124.3116730848815
23,-2.9364575291646244,0.1932089074698369,0.9171489271821965,-68.20803433725374,42.757839298199556,1121.8990089908898
24,-2.9230919601317367,0.21391002957844776,0.908291846943583,-68.7202413742483,48.63676671124234,1138.3675054337111
25,-2.9402516443488667,0.23053998690010194,0.8456725670460311,-66.80220895838136,55.67968420323784,1153.498906564011
26,-2.911651439885506,0.2334821783309184,0.7824736868033149,-65.44158933737363,64.08662370600864,1160.502330167497
27,-2.8707295602220015,0.23918460205488853,0.7236316538482898,-63.280238794462754,72.65544790524709,1170.9196839432186
28,-2.853153796701561,0.24419761457104133,0.6814215932546427,-61.31950414342674,78.500414993989,1179.3063061443047
29,-2.8734514936289233,0.22868622204816932,0.6126549394472895,-59.64519293098628,79.72406994504018,1182.5767813844443
30,-2.872150277356996,0.2097776624117799,0.5449860856613012,-57.22687018819943,79.72498008242829,1183.8744592340076
31,-2.886528919688295,0.21113964069846394,0.48127160541157205,-54.51014252768388,77.5828149584168,1177.3097293386495
32,-2.905066724101387,0.1975774167019449,0.4546135721340733,-53.32577749791395,74.62173359363635,1170.7851533277005
33,-2.925594907121261,0.18405216949285758,0.4005056548037333,-52.692561184857844,73.0539335244419,1179.002689314643
34,-2.9389258817928243,0.17522459690896044,0.3853792715764793,-52.824316789732386,71.3913208274611,1178.6322057423358
35,-2.945063156349264,0.1765715755609987,0.4046523191077637,-54.22191651395134,71.28852556459108,1188.652968795955
36,-2.930788007070169,0.18235698363541938,0.3590669724916282,-54.930852534117534,71.55656354335548,1188.1885738191916
37,-2.9321657936422407,0.19555038650114895,0.3724643398147414,-56.53145625972618,71.24967350678311,1183.4121803188862
38,-2.9189916037240966,0.2104907444785027,0.3572155347915308,-57.6446859996093,71.36725090284155,1177.015425847975
39,-2.9373904620464972,0.22405600986689664,0.3512700628904845,-58.88225739383485,71.47834086848484,1177.3013807407494
40,-2.926165089272687,0.2365092738147758,0.361443703071815,-61.170048294619164,71.7254819096667,1174.8534229783966
41,-2.915072486769116,0.23408287348894272,0.35345370226778006,-62.89164941891152,71.99474507127466,1171.8448107210518
42,-2.9234572979550273,0.22655343428133215,0.3511841410018755,-64.66081631180752,72.04798549362256,1173.381882482319
43,-2.9169423933602947,0.21507740784900878,0.319577181903952,-65.91932867936536,72.14722175892827,1169.9926715848094
44,-2.925716837772773,0.20439059882414648,0.29833950881731586,-67.54870689004557,72.23405675535572,1172.3979246056579
45,-2.928226727776099,0.19139989711992375,0.28729023397533227,-69.38731109633531,72.2133662206601,1170.5970449107695
46,-2.9280341204021454,0.18503144128244722,0.28064481416803966,-71.29566347464703,72.15666645646216,1169.3334112034897
47,-2.916346663860917,0.1750127392137885,0.28267052964250916,-73.12026098354576,72.36602833740443,1167.106509343105
48,-2.9258848944852747,0.1740927293830963,0.271484877769607,-75.1718357469892,72.57189241608229,1172.209097161769
49,-2.9260815157238147,0.17267397709728294,0.2795372598082764,-77.65803983000251,73.01445574353758,1174.7251257977705
50,-2.937289285582873,0.17376512910329855,0.2916707210408166,-79.7203570252637,73.06816532126325,1175.3315292303353
51,-2.916577597631889,0.17991666906871867,0.29512608334260465,-81.28688782250474,73.68390963802393,1173.1121847627664
52,-2.918007861208109,0.182047659325376,0.32543259032542765,-82.44944793675127,73.43374321210945,1170.4895740415145
53,-2.9093111271246657,0.1905717171418122,0.3253384476652774,-83.33458958844923,73.79513126607517,1170.943536358531
54,-2.9093128928942975,0.20116765718771162,0.32713117864352886,-83.48531244424323,73.51352326855671,1170.559840022488
55,-2.906801512476546,0.2040644175306958,0.35296703688400394,-83.67738972991853,73.01049951188782,1167.4965315555899
56,-2.8933574579225825,0.20456697279541933,0.38882394988734637,-83.53971966270342,71.6438486568667,1155.581991860404
57,-2.8793663469584727,0.2129964158251177,0.45939533380580794,-83.15801558119021,69.08731486431488,1136.9363520539143
58,-2.8791434100419537,0.21789930518051467,0.5052560174467553,-83.16171530781001,66.57116288392974,1123.897696237296
59,-2.8945551168858246,0.2010144695122285,0.4823578842925348,-82.10399142129891,64.37426369522291,1115.3208981234968
60,-2.8971880292558287,0.1992235849772967,0.5219622225204177,-82.51683245763527,63.19133489379594,1117.2340004778036
61,-2.9159482475719396,0.1871914385914077,0.5385968928947167,-82.65594960513741,61.78814121420873,1121.2620451690557
62,-2.9185659573781626,0.17669137303389246,0.5755187391587779,-81.8595557041981,60.46010661491544,1116.920009078525
63,-2.9180555742839744,0.17260226809983872,0.5857428252842867,-81.15505039790057,59.36029426616525,1115.3074409419062
64,-2.92504457454257,0.16773117332736698,0.5751795261514454,-80.02602393463039,58.220835066652256,1111.9527986556059
65,-2.932775273261636,0.1659742514724493,0.5668961298239639,-79.18034239585832,56.5660358141023,1106.8309863344625
66,-2.956349619925157,0.1666748655936197,0.5800658629350406,-78.75452476858901,54.204312597432676,1106.8481811067245
67,-2.972108863622798,0.15662132477857021,0.5715481030882316,-78.2096684827295,51.880508062594345,1108.956754559046
68,-2.9875525878732607,0.1378007047256312,0.5719871499085968,-77.73723589864838,49.45795248257746,1105.358422410396
69,-2.998957660881603,0.12314325535545699,0.578817467114983,-77.88752934833647,47.214887871641096,1107.3634208253297
70,-3.018846261292928,0.11413400971360098,0.5835066948925131,-77.52929534164036,45.000636856005286,1106.0006181765445
71,-3.031065305079712,0.09679463663823829,0.6037569691640579,-77.81344006023792,43.52962777560517,1110.218033665393
72,-3.0352423966092132,0.08930743963589696,0.6162982360199566,-77.67448408901731,42.584404855471576,1107.094026374716
73,-3.044301265699416,0.08290782863386,0.6089600657018538,-78.39465733471944,41.824805419347555,1108.0842867890724
74,-3.035324230762699,0.08055316326859838,0.6055552696881369,-79.53122867811258,41.44380549936351,1106.215361144747
75,-3.0498082706368947,0.08134642011137055,0.5919797381857939,-81.27711190366317,40.98733183746537,1111.7656438050808
76,-3.0551730334170344,0.08884575397821584,0.5968835332159266,-83.56502394906268,41.26022792736365,1113.4776582024008
77,-3.040084394165293,0.08975038916304985,0.5797768184715636,-84.66167424577247,41.59603994117882,1108.5657542525823
78,-3.0429587635120043,0.08711556206884272,0.5566445196608352,-86.8205550090643,42.110055734736946,1113.25631983832
79,-3.0412374448211574,0.09817388185464249,0.5757906787223056,-88.97580882459103,42.090432629857254,1109.855937479348
80,-3.0369901650463604,0.1098415203517052,0.58268920368529,-91.30310040727687,42.205412083661365,1112.3387182131028
81,-3.0430393717910853,0.11612526855317602,0.5685606043984026,-92.90842756322735,42.092323189954705,1113.9219632571937
82,-3.038474897497625,0.12392090145057713,0.6016657372472474,-95.48244229500612,42.263775856199736,1116.1993410067364
83,-3.0503558486579054,0.11463385405009313,0.5635451335574015,-96.25743571306056,41.91716563470218,1112.4840511113634
84,-3.043134040207331,0.11602064183822758,0.6046857213903216,-97.45220198061266,41.64405663285367,1104.9718989250719
85,-3.0498975183296717,0.11149343040659612,0.5986265678864836,-98.70387065094575,41.72279039802756,1112.7965107113444
86,-3.0481624348990177,0.11491446636151752,0.5990492234899054,-98.47394618707222,41.31633039568411,1106.5999589549513
87,-3.0393160738156624,0.10955996847514539,0.5803405114588862,-98.50396399182135,41.93671664827464,1109.3213769603756
88,-3.0349120534588128,0.10624829670025555,0.5788621962327043,-98.20085343747735,42.14137461205585,1108.8490833538642
