frame,rx,ry,rz,tx,ty,tz
0,-2.8725876640417045,-0.10312799636187849,0.4868102848687155,-39.21553833941653,-166.17002327102517,1168.825663054529
1,-2.8583934243430122,-0.09197462934719135,0.49934210326895045,-41.19861144606182,-167.7875059365451,1174.247133174307
2,-2.8430655219158183,-0.0715007231225785,0.5232002776850481,-42.83979584016294,-167.23201344202565,1162.237559886134
3,-2.8372486165888975,-0.07151862218917943,0.5808749797525272,-44.719096042757336,-166.8812190304653,1153.7804146902686
4,-2.8279632526224736,-0.07125695588643094,0.5802503964991986,-45.22340037551917,-166.6659827022329,1151.7927978819152
5,-2.832157749166919,-0.07123198441120562,0.587115087783737,-45.80120070252814,-165.90285514023117,1145.5756804171947
6,-2.8270258653838476,-0.06698538247617598,0.5946582422105025,-46.51692559563203,-166.40346038618034,1147.6568310569662
7,-2.829948354470467,-0.06629787273793956,0.6126159329507265,-46.69507828449935,-166.2080056660102,1143.085567866447
8,-2.8366243425682542,-0.06811218743108036,0.5918566489359095,-47.0536696727847,-167.3868704505218,1149.1611179320257
9,-2.8248489377959154,-0.06914546193550868,0.5968329928333203,-46.94344819863161,-165.94533933166576,1140.4808951701023
10,-2.829913014616563,-0.06437796902681615,0.5966226202944519,-47.434805825686574,-166.9454041637972,1145.7672654205517
11,-2.8307071977909803,-0.06771116446222614,0.5902489290677797,-47.39156218103892,-166.7902280715159,1144.983421312668
12,-2.8312171940942963,-0.06457596339652391,0.596428564985949,-47.69308861358591,-166.61858458143362,1142.9361338246367
13,-2.829851115762529,-0.06258238943437651,0.6009489618047933,-47.670566519313745,-165.86256651986028,1138.471384081107
14,-2.8294793878978557,-0.0648702004713778,0.582257276385288,-47.863138079360326,-166.116035546014,1141.5556779259534
15,-2.826518001339264,-0.06200724501793015,0.6052919201817153,-48.20419253840012,-165.9209021537593,1139.9032073625233
16,-2.828057735800883,-0.06208855082888314,0.6067218650485408,-48.49197281024709,-166.0607105542444,1140.318952245517
17,-2.8257947694651695,-0.061853147822428706,0.6045641173213181,-48.35548475587737,-165.8023200589572,1137.7761514209628
18,-2.8247762850415707,-0.0633810536853133,0.6109582641476314,-48.49701917924514,-165.79429213542272,1137.2457200961376
19,-2.8229289043141366,-0.06507539880548507,0.606253709439219,-48.15146995570748,-165.3755842198134,1134.3146170193143
20,-2.82007921092954,-0.06210299590267415,0.6020435450205999,-47.99534536189809,-165.2113357963209,1133.0000909515775
21,-2.8164218161815726,-0.0696560069850924,0.6041210304367287,-48.0813017605013,-165.6854610569441,1135.6686294852407
22,-2.8212606398658,-0.07213593234722289,0.6040734028027605,-47.88944243740998,-165.8512687989746,1135.2774061184068
23,-2.819831942942076,-0.08153324742439907,0.6104020695519023,-47.03325613397679,-165.34803570817192,1131.4447835955186
24,-2.8242771253845755,-0.0811653031005015,0.5944895022153903,-46.589241160354845,-166.0952122848299,1135.269335579703
25,-2.823222193360577,-0.08344826417466161,0.5844952556004693,-46.068842988144695,-166.10717391332437,1135.565617030841
26,-2.827038416746989,-0.08239325712706223,0.5892888025665559,-46.055328913033236,-166.2782212306855,1136.6603045136844
27,-2.824200551226568,-0.07946259891565724,0.6043145896799106,-46.17450618845715,-165.91196028921695,1133.6125668507977
28,-2.827334746616212,-0.0775827814173558,0.5844852642669148,-45.93518805845861,-166.5698685438403,1137.4670128271584
29,-2.8309631869290017,-0.07434822584587111,0.5875068186623003,-45.95561120953942,-166.83189510425663,1138.7261765647386
30,-2.825188295029368,-0.07293701978107958,0.5881872804512992,-45.772882131490526,-166.51256924369554,1137.398455146235
31,-2.8311878681512717,-0.07345747860530799,0.5935718105844727,-45.846535419573016,-166.12763674547716,1134.9060762602253
32,-2.8333733825832765,-0.07574435481988485,0.5804832777863987,-45.798536891205245,-166.3419642849294,1137.8056330300033
33,-2.830084032133914,-0.07992093725555065,0.6071283111282538,-45.85262980391377,-166.53738367048567,1139.1877121385257
34,-2.8575210323237386,-0.08676589803835155,0.5929305619418302,-45.362028540050005,-168.4924727948826,1155.7894708533831
35,-2.8489989640674453,-0.08681694540737264,0.558795424742677,-44.80907290140633,-169.12860887570645,1165.2100107908718
36,-2.8642083210066422,-0.08212945706607422,0.5255590015247263,-44.727219267997484,-170.1158801517641,1172.694616789962
37,-2.8601841673718837,-0.0847843115030406,0.539387106947873,-44.903010755999766,-169.98376296788769,1171.7127027133586
38,-2.8715592720777785,-0.08679650790040679,0.5395720492381932,-45.02062845212528,-170.83031815363185,1176.8681317987284
39,-2.873555861773489,-0.09130630083383431,0.5390957760255518,-45.164986813270495,-170.82798057595252,1178.0262628456899
40,-2.8702267144249385,-0.07077411032969794,0.5344091042778291,-45.112050837846205,-169.93217058275096,1169.9640001635873
41,-2.848956947612592,-0.07277203535511619,0.6199474487811818,-46.61617491142602,-168.46015367370373,1155.6254427183287
42,-2.826897197856174,-0.06563492097183908,0.58444712384061,-46.34742893468123,-167.12811276621036,1149.3286983306766
43,-2.8222988775336546,-0.06850131767835171,0.5940259071796016,-46.70804317200538,-166.2260993552626,1144.495210490082
44,-2.8274468582921486,-0.06902633147158325,0.5768818459589441,-46.687286900450225,-166.59311905183583,1147.063058045958
45,-2.831637965791501,-0.06675208156868559,0.5790929975290755,-46.89309304287238,-166.00487548736749,1143.08564243633
46,-2.8262580961179875,-0.06807639546081327,0.5791531843571143,-47.208341073065654,-166.57244633391755,1147.3711739840799
47,-2.8232021273163146,-0.06619574191020634,0.59822738755219,-47.54513564717074,-165.87774107446933,1143.4103225396548
48,-2.825947281200199,-0.06790998951518235,0.5921376745303885,-47.961446509920215,-166.9059710389606,1149.6981138318952
49,-2.822980936457342,-0.0667904580482692,0.5879916732429625,-47.889743402271364,-165.85283318753378,1143.1021551174997
50,-2.82263760425876,-0.06927775580625745,0.5807946086586334,-48.05106550167154,-166.39052999066735,1146.2205028008896
51,-2.8249219385613844,-0.06452045251283471,0.561886000682645,-47.90602260838695,-166.16678239489062,1144.75375872036
52,-2.8186486350836915,-0.0637326355068298,0.5789947427629298,-48.171809326956506,-165.64756322985295,1141.7521900352117
53,-2.81776572846724,-0.059585504166438125,0.5671457299891675,-48.24180442456513,-165.42610966768518,1141.722987471569
54,-2.8195504846939006,-0.06106188921344266,0.562272046373189,-48.25777928940207,-165.51678592858542,1142.489919795278
55,-2.820530058725525,-0.06188335751691393,0.5719060456715361,-48.39325578038552,-165.3628386480189,1141.3733355292368
56,-2.8201395159082154,-0.061209623286608346,0.5678848367855054,-48.3382783960852,-165.61336875753236,1142.6439774340363
