AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU24_r,AU25_r,AU26_r,frame
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
2.0233187079429626,1.584945023059845,0.02759683644399047,0.055311303585767746,2.1781254133657058e-06,2.253851443529129,4.621104210400517e-06,1.7447327077388763,3.9311477541923523,0.11923596262931824,0.0006194518209667876,1.4711301028728485,0.026425591204315424,0.05366913042962551,0.05366913042962551,0.0025635416386649013,0.0025635416386649013,18
0.4347386211156845,1.4251890778541565,0.04723868798464537,0.03563437843695283,2.6189627533312887e-06,1.7041777074337006,2.8790495889552403e-05,2.2819899022579193,4.502273797988892,0.18321942538022995,0.00029875198379158974,0.3901354596018791,0.0354302697815001,0.23905722424387932,0.23905722424387932,0.000689575172145851,0.000689575172145851,19
0.3432539850473404,1.700202226638794,0.042019723914563656,0.026114042848348618,2.061513697526607e-06,1.79054856300354,2.252188778584241e-05,2.29282408952713,4.421467483043671,0.20797019824385643,0.0005797199992230162,0.5788886174559593,0.030303404200822115,0.24860728532075882,0.24860728532075882,0.00044043263187631965,0.00044043263187631965,20
0.3799024969339371,1.842297911643982,0.033317310735583305,0.02890145406126976,3.349227881699335e-06,1.8909646570682526,2.5549220481480006e-05,2.754470407962799,4.403417408466339,0.23813176900148392,0.000557786515855696,0.21921847015619278,0.03199485596269369,0.4036705940961838,0.4036705940961838,0.0008277499728137627,0.0008277499728137627,21
0.3568897023797035,1.9022536277770996,0.03479023464024067,0.03137649968266487,2.8615434644052584e-06,1.8206243216991425,2.775941538857296e-05,2.7765461802482605,4.41433310508728,0.2242652326822281,0.0003566829036572017,0.17304323613643646,0.029902472160756588,0.3399169072508812,0.3399169072508812,0.0006905660848133266,0.0006905660848133266,22
0.32138824462890625,2.058163583278656,0.03711880650371313,0.03327721729874611,1.5966131172717724e-06,1.665882021188736,3.027994580406812e-05,2.4463534355163574,4.423550367355347,0.15383370220661163,0.0003080493479501456,0.3073582798242569,0.025769569911062717,0.2059987559914589,0.2059987559914589,0.00033797507057897747,0.00033797507057897747,23
0.3168708086013794,2.104870527982712,0.033082603476941586,0.03545332234352827,1.9112599147774745e-06,1.7138953506946564,3.0800899821770145e-05,2.286745309829712,4.464971125125885,0.17151663079857826,0.000365428531949874,0.5149833112955093,0.031843099277466536,0.29735611751675606,0.29735611751675606,0.0004791234459844418,0.0004791234459844418,24
0.26546288281679153,1.9507983326911926,0.032759252935647964,0.03536865580826998,2.0305769510287064e-06,1.8230709433555603,2.9102845928719034e-05,2.6047182083129883,4.495778679847717,0.10392162948846817,0.00043602056393865496,0.42265068739652634,0.03798803547397256,0.2597419545054436,0.2597419545054436,0.0004503692252910696,0.0004503692252910696,25
0.26524873450398445,1.9862565398216248,0.035114099737256765,0.03938280511647463,1.8818654723418149e-06,1.810193955898285,2.945182586699957e-05,2.62826144695282,4.462860822677612,0.0932549498975277,0.0005620771844405681,0.4795730486512184,0.03985442686825991,0.2147584967315197,0.2147584967315197,0.00040288759919349104,0.00040288759919349104,26
0.2612031437456608,2.019386440515518,0.04230221267789602,0.037279180251061916,2.2063512972181343e-06,1.8530099093914032,3.167030627082568e-05,2.8579097986221313,4.511004388332367,0.08920574560761452,0.0005462911940412596,0.3946702554821968,0.04641876555979252,0.19345540553331375,0.19345540553331375,0.0004202093623462133,0.0004202093623462133,27
