AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU24_r,AU25_r,AU26_r,frame
0.0048188865184783936,0.06050828378647566,1.3168808817863464,0.2557525038719177,8.089190828286519e-07,1.1302030831575394,7.764489851069811e-07,0.00022643438569502905,0.0006990090332692489,0.4352356120944023,0.00014744902728125453,1.0427413135766983,0.0009372241038363427,0.3112665191292763,0.3112665191292763,0.05962670315057039,0.05962670315057039,196
1.6999873518943787,1.1576172709465027,0.03150132019072771,0.19213292747735977,1.6054460161285533e-06,1.1931338161230087,1.9018270336346177e-06,0.0001587185397511348,0.000172774052771274,0.07933774963021278,0.00022492122297990136,0.1157951820641756,0.0012094666453776881,0.0733927870169282,0.0733927870169282,0.06706696469336748,0.06706696469336748,197
4.062860608100891,3.9510002732276917,0.0005236262950347736,0.46424582600593567,2.7428563953435514e-06,0.6329798698425293,2.9553029889939353e-06,0.000392325637221802,5.501998202817049e-05,0.03617239650338888,0.0007600260141771287,0.23968437686562538,0.0013444494106806815,0.0451485812664032,0.0451485812664032,0.07807353977113962,0.07807353977113962,198
4.4843944907188416,4.485719203948975,0.00018465261746314354,0.285854060202837,3.0215224455787393e-06,0.638897567987442,4.211534303522058e-06,0.0003693555117934011,2.5313820515293628e-05,0.02914546988904476,0.001010951746138744,0.353863462805748,0.0009284833504352719,0.022074508015066385,0.022074508015066385,0.09344658814370632,0.09344658814370632,199
4.591585099697113,4.562852084636688,8.914675163396169e-05,0.34993842244148254,2.722157717016671e-06,0.5527953058481216,5.505545459527639e-06,0.00277864804957062,0.00013322252925718203,0.04310837481170893,0.00030165771022439003,0.05103258416056633,0.0007247125176945701,0.032370081171393394,0.032370081171393394,0.2571164257824421,0.2571164257824421,200
4.4067299365997314,4.510222971439362,9.580269761499949e-05,0.37417221814393997,2.7797682378150057e-06,0.7460378110408783,5.1943732159998035e-06,0.0027042755391448736,0.00011182962225575466,0.03440415021032095,0.0002112100992235355,0.040929620154201984,0.0006152287096483633,0.024264866951853037,0.024264866951853037,0.24368872866034508,0.24368872866034508,201
3.9400437474250793,4.15090799331665,0.0002817130007315427,0.21432086825370789,2.597030857032223e-06,0.9587956964969635,6.485724952653982e-06,0.004673699149861932,0.00011827058187918738,0.028548778500407934,0.0003413504600757733,0.032705122139304876,0.0009778801177162677,0.01902631251141429,0.01902631251141429,0.18857598304748535,0.18857598304748535,202
4.095057249069214,3.9459702372550964,0.0002499027323210612,0.1484943926334381,4.598578016157262e-06,1.3265825808048248,1.0640824257279746e-05,0.024905402678996325,0.00030419923859881237,0.0209050253033638,0.0021607984672300518,0.02519301837310195,0.002711371926125139,0.0192501547280699,0.0192501547280699,0.20360713824629784,0.20360713824629784,203
3.8383495807647705,4.016706347465515,0.0003443642708589323,0.19244426861405373,7.983229579622275e-06,1.1239086091518402,1.0721979606387322e-05,0.17050132155418396,0.0004324503242969513,0.021507199853658676,0.0050578085938468575,0.05960787646472454,0.004478067276068032,0.025567677803337574,0.025567677803337574,0.30492356047034264,0.30492356047034264,204
3.258536159992218,3.259662091732025,0.0007735985127510503,0.18079569563269615,5.415699888544623e-06,1.336478441953659,7.554630201411783e-06,0.03811362665146589,0.00016713800505385734,0.025347545742988586,0.0016624349518679082,0.02294925507158041,0.002573677629698068,0.022249636240303516,0.022249636240303516,0.6487729400396347,0.6487729400396347,205
